.text,00400630,_start,B0,T,31ED,xor,xor_11,ebp,ebp,1,1,N,,xor,S
.text,00400632,_start,B0,T,4989D1,mov,mov_11,r9,rdx,1,1,N,,mov,C
.text,00400635,_start,B0,T,5E,pop,pop_10,rsi,,1,0,N,,pop,C
.text,00400636,_start,B0,T,4889E2,mov,mov_11,rdx,rsp,1,1,N,,mov,C
.text,00400639,_start,B0,T,4883E4F0,and,and_15,rsp,0FFFFFFFFFFFFFFF0h,1,5,N,,and,C
.text,0040063D,_start,B0,T,50,push,push_10,rax,,1,0,N,,push,C
.text,0040063E,_start,B0,T,54,push,push_10,rsp,,1,0,N,,push,C
.text,0040063F,_start,B0,T,49C7C0C00F4000,mov,mov_15,r8,offset __libc_csu_fini,1,5,N,_r.CODE,mov_r.CODE,C
.text,00400646,_start,B0,T,48C7C1500F4000,mov,mov_15,rcx,offset __libc_csu_init,1,5,N,_r.CODE,mov_r.CODE,C
.text,0040064D,_start,B0,T,48C7C72C074000,mov,mov_15,rdi,offset main,1,5,N,_r.CODE,mov_r.CODE,C
.text,00400654,_start,B0,T,E887FFFFFF,call,call_70,___libc_start_main,,7,0,J,.CODE,call.CODE,C
.text,00400659,_start,B0,T,F4,hlt,hlt_00,,,0,0,N,,hlt,C
.text,00400660,deregister_tm_clones,B1,T,B80F156000,mov,mov_15,eax,offset unk_60150F,1,5,N,_r.BSS,mov_r.BSS,S
.text,00400665,deregister_tm_clones,B1,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,00400666,deregister_tm_clones,B1,T,482D08156000,sub,sub_15,rax,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,0040066C,deregister_tm_clones,B1,T,4883F80E,cmp,cmp_15,rax,0Eh,1,5,N,,cmp,C
.text,00400670,deregister_tm_clones,B1,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400673,deregister_tm_clones,B1,T,761B,jbe,jbe_70,loc_400690,,7,0,J,.CODE,jbe.CODE,C
