.text,00400710,_start,B0,T,31ED,xor,xor_11,ebp,ebp,1,1,N,,xor,S
.text,00400712,_start,B0,T,4989D1,mov,mov_11,r9,rdx,1,1,N,,mov,C
.text,00400715,_start,B0,T,5E,pop,pop_10,rsi,,1,0,N,,pop,C
.text,00400716,_start,B0,T,4889E2,mov,mov_11,rdx,rsp,1,1,N,,mov,C
.text,00400719,_start,B0,T,4883E4F0,and,and_15,rsp,0FFFFFFFFFFFFFFF0h,1,5,N,,and,C
.text,0040071D,_start,B0,T,50,push,push_10,rax,,1,0,N,,push,C
.text,0040071E,_start,B0,T,54,push,push_10,rsp,,1,0,N,,push,C
.text,0040071F,_start,B0,T,49C7C040104000,mov,mov_15,r8,offset __libc_csu_fini,1,5,N,_r.CODE,mov_r.CODE,C
.text,00400726,_start,B0,T,48C7C1D00F4000,mov,mov_15,rcx,offset __libc_csu_init,1,5,N,_r.CODE,mov_r.CODE,C
.text,0040072D,_start,B0,T,48C7C77D0E4000,mov,mov_15,rdi,offset main,1,5,N,_r.CODE,mov_r.CODE,C
.text,00400734,_start,B0,T,E857FFFFFF,call,call_70,___libc_start_main,,7,0,J,.CODE,call.CODE,C
.text,00400739,_start,B0,T,F4,hlt,hlt_00,,,0,0,N,,hlt,C
.text,00400740,deregister_tm_clones,B1,T,B8C7146000,mov,mov_15,eax,offset unk_6014C7,1,5,N,_r.BSS,mov_r.BSS,S
.text,00400745,deregister_tm_clones,B1,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,00400746,deregister_tm_clones,B1,T,482DC0146000,sub,sub_15,rax,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,0040074C,deregister_tm_clones,B1,T,4883F80E,cmp,cmp_15,rax,0Eh,1,5,N,,cmp,C
.text,00400750,deregister_tm_clones,B1,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400753,deregister_tm_clones,B1,T,761B,jbe,jbe_70,loc_400770,,7,0,J,.CODE,jbe.CODE,C
.text,00400755,deregister_tm_clones,B2,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,0040075A,deregister_tm_clones,B2,T,4885C0,test,test_11,rax,rax,1,1,N,,test,C
.text,0040075D,deregister_tm_clones,B2,T,7411,jz,jz_70,loc_400770,,7,0,J,.CODE,jz.CODE,C
.text,0040075F,deregister_tm_clones,B3,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400760,deregister_tm_clones,B3,T,BFC0146000,mov,mov_15,edi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,C
.text,00400765,deregister_tm_clones,B3,T,FFE0,jmp,jmp_10,rax,,1,0,J,,jmp,C
.text,00400770,deregister_tm_clones,B4,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400771,deregister_tm_clones,B4,T,C3,retn,retn_00,,,0,0,N,,retn,C
